[2025-05-19 20:58:05] INFO - Batch 16: H‐loss=0.0648
[2025-05-19 20:58:06] INFO - Batch 17: H‐loss=0.0623
[2025-05-19 20:58:06] INFO - Batch 18: H‐loss=0.0616
[2025-05-19 20:58:06] INFO - Avg H‐loss: 0.0756
[2025-05-19 20:58:06] INFO - Epoch 2/inf
[2025-05-19 20:58:07] INFO - Batch 0: H‐loss=0.0882
[2025-05-19 20:58:08] INFO - Batch 1: H‐loss=0.0691
[2025-05-19 20:58:09] INFO - Batch 2: H‐loss=0.0629
[2025-05-19 20:58:09] INFO - Batch 3: H‐loss=0.0657
[2025-05-19 20:58:10] INFO - Batch 4: H‐loss=0.0725
[2025-05-19 20:58:10] INFO - Batch 5: H‐loss=0.0642
[2025-05-19 20:58:11] INFO - Batch 6: H‐loss=0.0637
[2025-05-19 20:58:11] INFO - Batch 7: H‐loss=0.0610
[2025-05-19 20:58:12] INFO - Batch 8: H‐loss=0.0683
[2025-05-19 20:58:13] INFO - Batch 9: H‐loss=0.0603
[2025-05-19 20:58:13] INFO - Batch 10: H‐loss=0.0529
[2025-05-19 20:58:14] INFO - Batch 11: H‐loss=0.0648
[2025-05-19 20:58:14] INFO - Batch 12: H‐loss=0.0571
[2025-05-19 20:58:15] INFO - Batch 13: H‐loss=0.0550
[2025-05-19 20:58:15] INFO - Batch 14: H‐loss=0.0566
[2025-05-19 20:58:16] INFO - Batch 15: H‐loss=0.0454
[2025-05-19 20:58:17] INFO - Batch 16: H‐loss=0.0554
[2025-05-19 20:58:17] INFO - Batch 17: H‐loss=0.0439
[2025-05-19 20:58:17] INFO - Batch 18: H‐loss=0.0580
[2025-05-19 20:58:17] INFO - Avg H‐loss: 0.0613
[2025-05-19 20:58:17] INFO - Epoch 3/inf
[2025-05-19 20:58:19] INFO - Batch 0: H‐loss=0.0562
[2025-05-19 20:58:20] INFO - Batch 1: H‐loss=0.0482
[2025-05-19 20:58:20] INFO - Batch 2: H‐loss=0.0495
[2025-05-19 20:58:21] INFO - Batch 3: H‐loss=0.0431
[2025-05-19 20:58:21] INFO - Batch 4: H‐loss=0.0491
[2025-05-19 20:58:22] INFO - Batch 5: H‐loss=0.0503
[2025-05-19 20:58:22] INFO - Batch 6: H‐loss=0.0566
[2025-05-19 20:58:23] INFO - Batch 7: H‐loss=0.0429
[2025-05-19 20:58:24] INFO - Batch 8: H‐loss=0.0446
[2025-05-19 20:58:24] INFO - Batch 9: H‐loss=0.0406
[2025-05-19 20:58:25] INFO - Batch 10: H‐loss=0.0441
[2025-05-19 20:58:25] INFO - Batch 11: H‐loss=0.0348
[2025-05-19 20:58:26] INFO - Batch 12: H‐loss=0.0413
[2025-05-19 20:58:27] INFO - Batch 13: H‐loss=0.0493
[2025-05-19 20:58:27] INFO - Batch 14: H‐loss=0.0395
[2025-05-19 20:58:28] INFO - Batch 15: H‐loss=0.0296
[2025-05-19 20:58:28] INFO - Batch 16: H‐loss=0.0364
[2025-05-19 20:58:29] INFO - Batch 17: H‐loss=0.0394
[2025-05-19 20:58:29] INFO - Batch 18: H‐loss=0.0414
[2025-05-19 20:58:29] INFO - Avg H‐loss: 0.0440
[2025-05-19 20:58:29] INFO - Epoch 4/inf
[2025-05-19 20:58:31] INFO - Batch 0: H‐loss=0.0410
[2025-05-19 20:58:31] INFO - Batch 1: H‐loss=0.0364
[2025-05-19 20:58:32] INFO - Batch 2: H‐loss=0.0442
[2025-05-19 20:58:33] INFO - Batch 3: H‐loss=0.0324
[2025-05-19 20:58:33] INFO - Batch 4: H‐loss=0.0313
[2025-05-19 20:58:34] INFO - Batch 5: H‐loss=0.0370
[2025-05-19 20:58:34] INFO - Batch 6: H‐loss=0.0318
[2025-05-19 20:58:35] INFO - Batch 7: H‐loss=0.0483
[2025-05-19 20:58:36] INFO - Batch 8: H‐loss=0.0247
[2025-05-19 20:58:36] INFO - Batch 9: H‐loss=0.0266
[2025-05-19 20:58:37] INFO - Batch 10: H‐loss=0.0372
[2025-05-19 20:58:38] INFO - Batch 11: H‐loss=0.0341
[2025-05-19 20:58:38] INFO - Batch 12: H‐loss=0.0243
[2025-05-19 20:58:39] INFO - Batch 13: H‐loss=0.0288
[2025-05-19 20:58:40] INFO - Batch 14: H‐loss=0.0199
[2025-05-19 20:58:40] INFO - Batch 15: H‐loss=0.0268
[2025-05-19 20:58:41] INFO - Batch 16: H‐loss=0.0230
[2025-05-19 20:58:41] INFO - Batch 17: H‐loss=0.0267
[2025-05-19 20:58:41] INFO - Batch 18: H‐loss=0.0222
[2025-05-19 20:58:42] INFO - Avg H‐loss: 0.0314
[2025-05-19 20:58:42] INFO - Epoch 5/inf
[2025-05-19 20:58:43] INFO - Batch 0: H‐loss=0.0280
[2025-05-19 20:58:44] INFO - Batch 1: H‐loss=0.0210
[2025-05-19 20:58:44] INFO - Batch 2: H‐loss=0.0470
[2025-05-19 20:58:45] INFO - Batch 3: H‐loss=0.0231
[2025-05-19 20:58:46] INFO - Batch 4: H‐loss=0.0207
[2025-05-19 20:58:46] INFO - Batch 5: H‐loss=0.0266
[2025-05-19 20:58:47] INFO - Batch 6: H‐loss=0.0308
[2025-05-19 20:58:48] INFO - Batch 7: H‐loss=0.0260
[2025-05-19 20:58:48] INFO - Batch 8: H‐loss=0.0234
[2025-05-19 20:58:49] INFO - Batch 9: H‐loss=0.0230
[2025-05-19 20:58:50] INFO - Batch 10: H‐loss=0.0232
[2025-05-19 20:58:50] INFO - Batch 11: H‐loss=0.0270
[2025-05-19 20:58:51] INFO - Batch 12: H‐loss=0.0307
[2025-05-19 20:58:52] INFO - Batch 13: H‐loss=0.0215
[2025-05-19 20:58:52] INFO - Batch 14: H‐loss=0.0277
[2025-05-19 20:58:53] INFO - Batch 15: H‐loss=0.0322
[2025-05-19 20:58:53] INFO - Batch 16: H‐loss=0.0237
